Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,42,2745,2030,1338,199,490,27,225,905,0,0
C:\Users\Marcin\Documents\Visual Studio 2015\Projects\isi_projekt\Classes,42,2745,2030,1338,199,490,27,225,905,0,0
